"행정구역(시군구)별","연령별","항목","단위","2025.04 월","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"전국","계","총인구수[명]","명","51175725","51327916","51529338","51696216","51778544","51826059","51849861","51829023","51638809","51439038","51325329","51217221",
"전국","0세","총인구수[명]","명","240887","419833","424563","393674","345786","317685","295132","265087","253946","244250","225958","235337",
"전국","1세","총인구수[명]","명","231210","438778","437994","441720","409814","361625","330970","304651","274633","264788","253595","234405",
"전국","2세","총인구수[명]","명","248017","488030","439989","439207","442943","411225","362900","331606","306120","277529","266619","254654",
"전국","3세","총인구수[명]","명","263823","474932","488716","440530","439700","443586","412018","363250","332157","307975","279134","267456",
"전국","4세","총인구수[명]","명","275644","472731","475519","489140","440872","440123","444102","412429","363613","333048","309282","279924",
"전국","5세","총인구수[명]","명","298224","447531","473120","475817","489401","441105","440483","444367","412739","364198","333705","309988",
"전국","6세","총인구수[명]","명","325915","468321","447817","473401","476061","489604","441362","440710","444555","413162","364740","334145",
"전국","7세","총인구수[명]","명","353752","495536","468546","448049","473580","476168","489772","441560","440866","444843","413535","365050",
"전국","8세","총인구수[명]","명","395181","449510","495761","468712","448183","473690","476358","489936","441672","441044","445099","413851",
"전국","9세","총인구수[명]","명","437266","436172","449663","495918","468858","448251","473817","476474","490049","441805","441225","445308",
"전국","10세","총인구수[명]","명","444459","474187","436313","449851","496041","468897","448401","473919","476536","490147","441952","441402",
"전국","11세","총인구수[명]","명","439164","493804","474284","436439","449954","496074","469014","448450","473997","476573","490229","442088",
"전국","12세","총인구수[명]","명","477689","495268","493916","474372","436496","449936","496146","469087","448481","473924","476570","490336",
"전국","13세","총인구수[명]","명","476372","559938","495316","493970","474366","436420","449979","496175","469101","448369","473894","476596",
"전국","14세","총인구수[명]","명","484634","639828","559996","495347","493910","474221","436418","449958","496081","468939","448324","473881",
"전국","15세","총인구수[명]","명","448972","620320","639869","560014","495262","493626","474123","436320","449838","495811","468773","448184",
"전국","16세","총인구수[명]","명","460636","640283","620297","639783","559804","494894","493389","473931","436095","449473","495547","468559",
"전국","17세","총인구수[명]","명","495572","671839","640126","620107","639416","559205","494523","493036","473465","435582","449025","495166",
"전국","18세","총인구수[명]","명","458697","685501","671503","639836","619744","638581","558704","494044","492266","472622","435025","448543",
"전국","19세","총인구수[명]","명","437105","707936","685469","671319","639432","619299","638313","558416","493456","491756","472121","434510",
"전국","20세","총인구수[명]","명","454230","713451","707868","685246","670955","639161","619035","638108","557948","492919","491415","471844",
"전국","21세","총인구수[명]","명","486036","709683","713497","707800","685001","670613","638851","618752","637555","557252","492547","491115",
"전국","22세","총인구수[명]","명","486406","724403","709734","713499","707489","684673","670285","638595","618217","636829","556848","492239",
"전국","23세","총인구수[명]","명","529579","701661","724581","709775","713246","707318","684354","670075","638093","617553","636473","556481",
"전국","24세","총인구수[명]","명","614334","639299","701903","724741","709736","713137","707120","684146","669509","637288","617157","636135",
"전국","25세","총인구수[명]","명","626480","630475","639594","702099","724578","709738","712882","706819","683379","668523","636857","616775",
"전국","26세","총인구수[명]","명","625972","625298","630813","640053","702166","724841","709730","712801","706235","682511","668222","636549",
"전국","27세","총인구수[명]","명","660729","617178","625667","631162","640303","702366","724896","709626","712085","705293","682210","667939",
"전국","28세","총인구수[명]","명","673387","627641","617519","626102","631234","640669","702371","724866","708889","711089","704975","681868",
"전국","29세","총인구수[명]","명","701319","652955","627872","617951","626259","631457","640832","702365","724013","707924","710782","704711",
"전국","30세","총인구수[명]","명","703302","662331","653196","628249","618127","626456","631550","640897","701535","722983","707687","710451",
"전국","31세","총인구수[명]","명","705625","749426","662511","653447","628300","618363","626485","631573","640224","700514","722762","707440",
"전국","32세","총인구수[명]","명","723490","823867","749469","662753","653497","628466","618427","626557","630872","639276","700189","722490",
"전국","33세","총인구수[명]","명","709618","842467","823872","749557","662636","653494","628407","618482","625794","629734","639083","699943",
"전국","34세","총인구수[명]","명","649787","839360","842339","823862","749385","662582","653361","628489","617636","624750","629531","638888",
"전국","35세","총인구수[명]","명","637332","829954","839281","842279","823495","749232","662430","653259","627431","616573","624565","629332",
"전국","36세","총인구수[명]","명","626019","724311","829802","839113","841840","823253","748919","662309","651979","626297","616305","624255",
"전국","37세","총인구수[명]","명","612542","781739","724134","829685","838693","841390","822868","748699","660870","650702","625939","616111",
"전국","38세","총인구수[명]","명","620438","765094","781486","724012","829177","838252","840885","822494","746777","659616","650357","625732",
"전국","39세","총인구수[명]","명","644362","793298","764876","781183","723499","828655","837692","840358","820317","745066","659130","649921",
"전국","40세","총인구수[명]","명","641952","862022","792924","764577","780568","722964","828035","837135","837928","818283","744342","658671",
"전국","41세","총인구수[명]","명","717200","897682","861482","792564","763958","779981","722387","827427","834576","835767","817482","743698",
"전국","42세","총인구수[명]","명","787918","898901","897141","860953","791817","763284","779215","721752","824976","832233","834841","816621",
"전국","43세","총인구수[명]","명","838103","947121","898285","896518","859972","790977","762470","778395","719423","822634","831109","833847",
"전국","44세","총인구수[명]","명","828795","922307","946354","897631","895428","858988","790085","761607","775928","717332","821485","829962",
"전국","45세","총인구수[명]","명","831879","928289","921494","945524","896361","894197","857823","789046","759008","773557","716196","820303",
"전국","46세","총인구수[명]","명","746043","931025","927372","920661","944179","895079","892843","856591","785980","756452","772241","715135",
"전국","47세","총인구수[명]","명","757319","866083","929758","926343","919109","942734","893588","891471","852896","783135","755064","770890",
"전국","48세","총인구수[명]","명","736728","820657","864888","928518","924665","917454","941096","892019","887828","849550","781606","753629",
"전국","49세","총인구수[명]","명","775392","856129","819295","863764","926695","922929","915688","939344","888249","884174","847768","780067",
"전국","50세","총인구수[명]","명","816296","837923","854571","817907","861873","924835","921051","913912","935176","884382","882176","845911",
"전국","51세","총인구수[명]","명","883281","797573","836443","853001","815855","860005","922768","919030","909777","930911","882277","880162",
"전국","52세","총인구수[명]","명","884207","885997","796081","834857","850770","813809","857909","920605","914615","905532","928584","880074",
"전국","53세","총인구수[명]","명","907948","920265","884105","794455","832633","848593","811612","855730","915978","910099","903162","926217",
"전국","54세","총인구수[명]","명","914155","928833","917941","882172","792265","830351","846251","809451","851276","911148","907461","900755",
"전국","55세","총인구수[명]","명","887993","857783","926350","915541","879476","789814","828014","843823","804900","846623","908334","904839",
"전국","56세","총인구수[명]","명","923640","783692","855335","923841","912277","876735","787363","825363","838994","800255","843784","905496",
"전국","57세","총인구수[명]","명","835061","776856","781202","852740","920380","908987","873704","784660","820408","833964","797304","840885",
"전국","58세","총인구수[명]","명","813091","701219","774145","778724","849219","916989","905510","870571","779401","815151","830740","794467",
"전국","59세","총인구수[명]","명","826992","726020","698618","771423","775456","845766","913195","901869","864686","773999","811877","827564",
"전국","60세","총인구수[명]","명","823320","617706","723306","696051","767925","771988","842106","909224","895236","858519","770775","808536",
