"Poverty rate"
"66 year-olds or more, % of population, 2022"
"Category","66 year-olds or more"
"Korea",39.7
"Estonia",37.4
"New Zealand",33.7
"Latvia",33
"Croatia",28.5
"Costa Rica",25.8
"Lithuania",24.6
"United States",23.1
"Mexico",18.3
"Chile",16.2
"Israel",15.3385561
"United Kingdom",14.9
"Spain",13.1
"Poland",12.8
"Slovenia",12.8
"Bulgaria",12.5
"Romania",12.1
"Italy",12
"Türkiye",11.9
"Austria",11.6
"Canada",11.6
"Portugal",11
"Hungary",10.1
"Greece",10
"Ireland",9.5
"Sweden",9.4
"Belgium",7.7
"Czechia",7.6
"Slovak Rep.",7.2
"Luxembourg",7
"France",6.1
"Finland",5.5
"Netherlands",4.5
"Norway",4.1
"Brazil",2.2
