연도,총계,연금수급자 소계,연금수급자 노령,연금수급자 장애,연금수급자 유족,일시금수급자 소계,일시금수급자 장애,일시금수급자 반환,일시금수급자 사망
2005,"3,584,901","3,210,044","2,531,536","193,931","484,577","374,857","35,714","324,885","14,259"
2006,"4,360,239","3,899,369","3,103,161","225,607","570,601","460,870","44,240","400,674","15,957"
2007,"5,182,611","4,748,988","3,857,709","245,877","645,401","433,623","48,325","368,374","16,924"
2008,"6,180,804","5,764,986","4,765,528","268,101","731,358","415,818","47,921","348,026","19,871"
2009,"7,471,934","6,946,490","5,814,825","287,016","844,649","525,444","40,940","460,476","24,027"
2010,"8,635,467","8,107,420","6,861,876","296,305","949,239","528,047","37,299","465,123","25,625"
2011,"9,819,296","9,273,039","7,905,180","305,547","1,062,312","546,257","41,919","475,051","29,287"
2012,"11,550,755","10,837,243","9,327,086","314,463","1,195,694","713,511","34,654","648,045","30,812"
2013,"13,112,751","12,361,973","10,705,594","326,168","1,330,211","750,779","38,737","679,145","32,897"
2014,"13,779,943","13,087,468","11,295,917","331,603","1,459,947","692,475","34,471","618,468","39,535"
2015,"15,184,010","14,342,683","12,415,111","336,568","1,591,004","841,327","35,522","759,704","46,101"
2016,"17,068,159","16,107,103","14,047,957","337,332","1,721,814","961,056","36,048","874,649","50,359"
2017,"19,083,886","18,155,323","15,931,616","349,017","1,874,690","928,563","42,131","842,325","44,107"
2018,"20,752,686","19,800,820","17,384,044","359,198","2,057,577","951,866","46,669","859,082","46,113"
2019,"22,764,343","21,711,564","19,069,258","378,720","2,263,586","1,052,780","48,847","953,068","50,865"
2020,"25,654,071","24,628,326","21,816,877","383,031","2,428,418","1,025,745","48,366","919,192","58,187"
2021,"29,136,791","28,080,664","25,083,266","384,944","2,612,454","1,056,127","49,746","940,751","65,630"
2022,"34,020,076","32,817,226","29,544,090","391,377","2,881,759","1,202,850","49,853","1,074,442","78,555"
2023,"39,040,227","37,744,089","34,070,895","416,841","3,256,354","1,296,138","58,053","1,146,957","91,128"
2024,"43,704,825","42,280,251","38,227,261","439,408","3,613,581","1,424,574","55,283","1,264,760","104,531"
2025,"3,946,270","3,825,957","3,470,055","36,579","319,323","120,314","3,950","109,046","7,318"
