연도,총계,연금수급자 소계,연금수급자 노령,연금수급자 장애,연금수급자 유족,일시금수급자 소계,일시금수급자 장애,일시금수급자 반환,일시금수급자 사망
2005,"1,757,674","1,651,681","1,349,626","54,467","247,588","105,993","4,147","96,078","5,768"
2006,"1,985,502","1,858,769","1,517,649","61,762","279,358","126,733","4,898","115,394","6,441"
2007,"2,244,477","2,110,519","1,731,560","67,091","311,868","133,958","5,167","121,200","7,591"
2008,"2,517,579","2,366,626","1,949,867","72,166","344,593","150,953","4,902","137,654","8,397"
2009,"2,770,344","2,602,630","2,149,168","74,535","378,927","167,714","3,836","154,119","9,759"
2010,"2,975,336","2,820,649","2,330,128","76,280","414,241","154,687","3,447","141,347","9,893"
2011,"3,166,983","3,015,244","2,489,614","75,895","449,735","151,739","3,480","136,628","11,631"
2012,"3,499,522","3,310,211","2,748,455","75,934","485,822","189,311","2,862","175,716","10,733"
2013,"3,633,770","3,440,693","2,840,660","75,041","524,992","193,077","2,993","179,440","10,644"
2014,"3,748,130","3,586,805","2,947,422","75,387","563,996","161,325","2,651","146,353","12,321"
2015,"4,028,671","3,832,188","3,151,349","75,688","605,151","196,483","2,597","179,937","13,949"
2016,"4,362,254","4,135,292","3,412,350","75,497","647,445","226,962","2,577","207,751","16,634"
2017,"4,692,847","4,475,143","3,706,516","75,486","693,141","217,704","2,916","201,278","13,510"
2018,"4,769,288","4,596,690","3,778,824","75,734","742,132","172,598","3,072","157,867","11,659"
2019,"5,163,110","4,961,143","4,090,497","77,872","792,774","201,967","3,028","186,921","12,018"
2020,"5,588,154","5,388,022","4,468,126","78,079","841,817","200,132","2,904","184,342","12,886"
2021,"6,070,124","5,864,373","4,894,452","77,726","892,195","205,751","2,897","189,205","13,649"
2022,"6,642,643","6,424,917","5,396,729","76,718","951,470","217,726","2,722","199,170","15,834"
2023,"6,822,178","6,626,552","5,543,769","75,616","1,007,167","195,626","2,911","175,279","17,436"
2024,"7,372,039","7,155,257","6,015,091","76,865","1,063,301","216,782","2,660","196,290","17,832"
2025,"7,089,605","7,071,974","5,957,982","68,790","1,045,202","17,631",190,"16,228","1,213"
