연도,고령층총수급액,고령층수급자수,평균수령액
2005,"2,531,536",1349626,1875731
2006,"3,103,161",1517649,2044716
2007,"3,857,709",1731560,2227881
2008,"4,765,528",1949867,2444027
2009,"5,814,825",2149168,2705617
2010,"6,861,876",2330128,2944849
2011,"7,905,180",2489614,3175263
2012,"9,327,086",2748455,3393574
2013,"10,705,594",2840660,3768700
2014,"11,295,917",2947422,3832474
2015,"12,415,111",3151349,3939618
2016,"14,047,957",3412350,4116798
2017,"15,931,616",3706516,4298273
2018,"17,384,044",3778824,4600385
2019,"19,069,258",4090497,4661844
2020,"21,816,877",4468126,4882780
2021,"25,083,266",4894452,5124836
2022,"29,544,090",5396729,5474444
2023,"34,070,895",5543769,6145800
2024,"38,227,261",6015091,6355226
