행정구역(시군구)별,전체인구,65세이상,고령인구비율(%),연도
강원특별자치도,3088884,255376,8.267581430704423,2014 년
경기도,24715660,1251686,5.064343820881175,2014 년
경상남도,6700514,448461,6.6929343032489745,2014 년
경상북도,5401588,466660,8.639311254394077,2014 년
광주광역시,2951768,159522,5.40428651574243,2014 년
대구광역시,4986528,303036,6.077094122403404,2014 년
대전광역시,3063618,158069,5.159553181891476,2014 년
부산광역시,7038802,490709,6.971484636163938,2014 년
서울특별시,20206466,1211858,5.997377275175184,2014 년
세종특별자치시,312250,19743,6.322818254603684,2014 년
울산광역시,2332754,97122,4.163405142591118,2014 년
인천광역시,5805216,297333,5.1218249243439,2014 년
전라남도,3811560,383107,10.05118639087408,2014 년
전북특별자치도,3743120,322023,8.603063754301225,2014 년
제주특별자치도,1214692,82210,6.7679708107075705,2014 년
충청남도,4124546,330186,8.005390169002844,2014 년
충청북도,3157866,228500,7.235899180015871,2014 년
강원특별자치도,3099014,261063,8.424066493407258,2015 년
경기도,25045212,1315874,5.253994256467064,2015 년
경상남도,6729404,463423,6.8865385404116015,2015 년
경상북도,5405652,478900,8.859245841204725,2015 년
광주광역시,2944398,166075,5.640371987754373,2015 년
대구광역시,4975658,315579,6.342457620680521,2015 년
대전광역시,3037550,165247,5.440140903030403,2015 년
부산광역시,7027554,513141,7.3018435717463,2015 년
서울특별시,20044362,1257399,6.27308067974426,2015 년
세종특별자치시,421768,22365,5.302678249653838,2015 년
울산광역시,2347068,103066,4.391266039160348,2015 년
인천광역시,5851630,312204,5.335333915507303,2015 년
전라남도,3817992,391084,10.24318542312294,2015 년
전북특별자치도,3739422,332885,8.902044219668173,2015 년
제주특별자치도,1248790,85680,6.86104148816054,2015 년
충청남도,4155298,340534,8.19517637483521,2015 년
충청북도,3167904,234373,7.3983618190450215,2015 년
강원특별자치도,3101612,265496,8.559935930090546,2016 년
경기도,25433560,1371170,5.391183931781473,2016 년
경상남도,6747742,479639,7.108140767681989,2016 년
경상북도,5400796,491606,9.10247304286257,2016 년
광주광역시,2938428,172217,5.860854851641762,2016 년
대구광역시,4969114,328310,6.6070128397134775,2016 년
대전광역시,3028740,171260,5.654496589340782,2016 년
부산광역시,6997058,534479,7.638624690548514,2016 년
서울특별시,19861232,1290424,6.497200173685097,2016 년
세종특별자치시,486096,24148,4.967742997268029,2016 년
울산광역시,2344608,108630,4.633183884043729,2016 년
인천광역시,5886138,323501,5.495980556351211,2016 년
전라남도,3807828,398157,10.456275861199613,2016 년
전북특별자치도,3729582,340506,9.129870317906938,2016 년
제주특별자치도,1283194,88958,6.932544884093909,2016 년
충청남도,4193454,349370,8.331318287979313,2016 년
충청북도,3183250,240219,7.5463441451346895,2016 년
강원특별자치도,3100284,279279,9.008174734959765,2017 년
경기도,25747790,1464466,5.687734753157455,2017 년
경상남도,6760808,503807,7.451875574635459,2017 년
경상북도,5383412,511868,9.5082449569158,2017 년
광주광역시,2927540,180517,6.16616681582489,2017 년
대구광역시,4950462,346844,7.006295574029251,2017 년
대전광역시,3004454,180353,6.002854428791387,2017 년
부산광역시,6941306,563913,8.124018736531713,2017 년
서울특별시,19714852,1354382,6.869856289055582,2017 년
세종특별자치시,560200,26802,4.784362727597287,2017 년
울산광역시,2330264,116480,4.998575268724917,2017 년
인천광역시,5897084,344233,5.837342659524606,2017 년
전라남도,3792848,407712,10.749494838706957,2017 년
전북특별자치도,3709214,350576,9.451490261818272,2017 년
제주특별자치도,1314166,92875,7.06721981850086,2017 년
충청남도,4233540,362192,8.555298875173023,2017 년
충청북도,3188864,251957,7.901152259864327,2017 년
강원특별자치도,3086104,288675,9.35402695437354,2018 년
경기도,26154306,1548199,5.919480333372256,2018 년
경상남도,6747976,522487,7.7428698620149214,2018 년
경상북도,5353662,528491,9.87157949082329,2018 년
광주광역시,2918672,186815,6.40068496905442,2018 년
대구광역시,4923538,362306,7.3586514413009505,2018 년
대전광역시,2979872,188211,6.316076663695622,2018 년
부산광역시,6882906,588296,8.54720375376331,2018 년
서울특별시,19531246,1404454,7.19080595267706,2018 년
세종특별자치시,628252,29124,4.635719424689456,2018 년
울산광역시,2311246,123761,5.354730738311716,2018 년
인천광역시,5909284,361849,6.12339836772103,2018 년
전라남도,3765940,412357,10.949643382528665,2018 년
전북특별자치도,3673664,357662,9.735838661347364,2018 년
제주특별자치도,1334382,95960,7.191344007937757,2018 년
충청남도,4252564,371736,8.74145574293532,2018 년
충청북도,3198504,261242,8.167630867430525,2018 년
강원특별자치도,3083004,302092,9.798624977457052,2019 년
경기도,26479332,1647427,6.221558006070546,2019 년
경상남도,6725106,547538,8.141700666130765,2019 년
경상북도,5331672,548488,10.287354510930156,2019 년
광주광역시,2912936,195080,6.697023209572747,2019 년
대구광역시,4876062,378599,7.764441879533115,2019 년
대전광역시,2949740,198358,6.724592675964661,2019 년
부산광역시,6827682,618333,9.056265362095072,2019 년
서울특별시,19458214,1472420,7.567087092371376,2019 년
세종특별자치시,681150,31896,4.682669015635323,2019 년
울산광역시,2296038,132407,5.766759957805577,2019 년
인천광역시,5914052,383665,6.487345731826504,2019 년
전라남도,3737490,421753,11.28439139636494,2019 년
전북특별자치도,3637834,369872,10.167368824415847,2019 년
제주특별자치도,1341978,100127,7.461150629891102,2019 년
충청남도,4247418,385809,9.0833772423623,2019 년
충청북도,3200014,272891,8.527806440846822,2019 년
강원특별자치도,3085680,318827,10.332471286718,2020 년
경기도,26854028,1771000,6.594913805854377,2020 년
경상남도,6680432,579431,8.673555841897649,2020 년
경상북도,5278844,572722,10.84938293308156,2020 년
광주광역시,2900124,205242,7.07700774173794,2020 년
대구광역시,4836692,399761,8.265173800605869,2020 년
대전광역시,2927764,210413,7.186815603989939,2020 년
부산광역시,6783892,655824,9.667370883852513,2020 년
서울특별시,19336930,1554347,8.038230474020438,2020 년
세종특별자치시,711662,34831,4.894317808172981,2020 년
울산광역시,2272034,143192,6.302370475089722,2020 년
인천광역시,5885656,410514,6.974821498232313,2020 년
전라남도,3703098,435010,11.747191135638323,2020 년
전북특별자치도,3608208,385347,10.679733540860171,2020 년
제주특별자치도,1349270,105858,7.845575755779051,2020 년
충청남도,4242058,404267,9.529973423277099,2020 년
충청북도,3201674,287579,8.982144965414967,2020 년
강원특별자치도,3076984,332818,10.81637083585745,2021 년
경기도,27130900,1879704,6.928277351654387,2021 년
경상남도,6628366,607985,9.17247176755176,2021 년
경상북도,5253218,595759,11.340839081873245,2021 년
광주광역시,2883222,213114,7.39152240098057,2021 년
대구광역시,4770824,416815,8.736750716438083,2021 년
대전광역시,2904502,221038,7.610185842529976,2021 년
부산광역시,6700760,681483,10.170234421170136,2021 년
서울특별시,19018916,1595804,8.390614901501221,2021 년
세종특별자치시,743790,37436,5.033141074765727,2021 년
울산광역시,2243184,152894,6.815936632928908,2021 년
인천광역시,5896750,435014,7.377182346207658,2021 년
전라남도,3665606,444734,12.1326187266171,2021 년
전북특별자치도,3573710,397214,11.114891807113615,2021 년
제주특별자치도,1353518,110450,8.160216561582484,2021 년
충청남도,4238514,419562,9.898799437727469,2021 년
충청북도,3194854,301248,9.429163273188697,2021 년
강원특별자치도,3072996,349537,11.374469735723704,2022 년
경기도,27178864,1991082,7.325847025835959,2022 년
경상남도,6560986,638417,9.730503921209403,2022 년
경상북도,5200984,617748,11.877521638213077,2022 년
광주광역시,2862100,222797,7.784389084937633,2022 년
대구광역시,4727382,435460,9.211440920154116,2022 년
대전광역시,2892144,232482,8.038396428393607,2022 년
부산광역시,6635624,712006,10.730053420748373,2022 년
서울특별시,18856744,1656915,8.786856309869826,2022 년
세종특별자치시,767182,40184,5.2378705444079765,2022 년
울산광역시,2221326,163751,7.371768034048132,2022 년
인천광역시,5934628,463427,7.808863504165721,2022 년
전라남도,3635394,456939,12.569174070265838,2022 년
전북특별자치도,3539214,410157,11.588929067301384,2022 년
제주특별자치도,1356318,115537,8.518430043691819,2022 년
충청남도,4246074,436458,10.279095465599516,2022 년
충청북도,3190116,316660,9.926284812213725,2022 년
강원특별자치도,3055614,366165,11.983352609328273,2023 년
경기도,27261642,2120866,7.779670791656644,2023 년
경상남도,6502316,669203,10.291763734644702,2023 년
경상북도,5108648,629921,12.33048352519101,2023 년
광주광역시,2838474,233671,8.232275511419164,2023 년
대구광역시,4749920,466073,9.812228416478593,2023 년
대전광역시,2884432,244545,8.478098981012552,2023 년
부산광역시,6586724,744767,11.307092873483086,2023 년
서울특별시,18772068,1732132,9.227177314720999,2023 년
세종특별자치시,773050,42517,5.49990298169588,2023 년
울산광역시,2207322,175630,7.956700472337068,2023 년
인천광역시,5994820,496566,8.283251206875269,2023 년
전라남도,3608434,470282,13.03285580393046,2023 년
전북특별자치도,3509514,422654,12.04309200647155,2023 년
제주특별자치도,1350504,120861,8.949325585114892,2023 년
충청남도,4260238,454040,10.65762053669302,2023 년
충청북도,3186938,331981,10.416926843258326,2023 년
강원특별자치도,3035532,384549,12.668257162171242,2024 년
경기도,27389370,2267656,8.279328805299283,2024 년
경상남도,6456760,703879,10.901427341267137,2024 년
경상북도,5062768,658676,13.010195213369446,2024 년
광주광역시,2816844,246799,8.761543060247568,2024 년
대구광역시,4727258,492996,10.42879402816601,2024 년
대전광역시,2878314,259030,8.999365600834377,2024 년
부산광역시,6533196,780147,11.941276520710538,2024 년
서울특별시,18663656,1812164,9.709587446318126,2024 년
세종특별자치시,781370,45262,5.792646249536071,2024 년
울산광역시,2196098,188616,8.588687754371618,2024 년
인천광역시,6042020,532863,8.819285603159209,2024 년
전라남도,3577638,485951,13.58301203196075,2024 년
전북특별자치도,3477380,438801,12.618724441964927,2024 년
제주특별자치도,1340736,126753,9.453986467134468,2024 년
충청남도,4273148,475160,11.11967102473399,2024 년
충청북도,3182354,348903,10.963676574007794,2024 년
