지역,고령인구비율(%),65세 이상 인구(명),전체 인구(명)
전국,20.4,10463147,51175725
서울특별시,19.8,1847030,9331860
부산광역시,24.4,794050,3256408
대구광역시,21.3,502111,2359159
인천광역시,18.1,548141,3033844
광주광역시,17.9,251349,1400827
대전광역시,18.4,265282,1439393
울산광역시,17.7,193577,1094460
세종특별자치시,11.8,46349,391992
경기도,17.0,2327377,13702756
강원특별자치도,25.9,392270,1512088
충청북도,22.3,355451,1590735
충청남도,22.7,485104,2135908
전북특별자치도,25.7,445579,1732439
전라남도,27.6,492623,1785003
경상북도,26.5,669274,2522609
경상남도,22.3,718706,3218731
제주특별자치도,19.3,128874,667513
