"행정구역별(1)",2024.12,2024.12,2024.12,2025.01,2025.01,2025.01,2025.02,2025.02,2025.02,2025.03,2025.03,2025.03,2025.04,2025.04,2025.04
"행정구역별(1)",고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명)
"전국",20.0,10256782,51217221,20.1,10309700,51207874,20.2,10356781,51191817,20.4,10419281,51183336,20.4,10463147,51175725
"서울특별시",19.4,1813648,9331828,19.5,1822790,9330658,19.6,1830404,9334828,19.7,1840543,9335734,19.8,1847030,9331860
"부산광역시",23.9,780576,3266598,24.0,784031,3263891,24.1,786978,3262337,24.3,791106,3259219,24.4,794050,3256408
"대구광역시",20.9,493256,2363629,21.0,495427,2363281,21.1,497341,2362578,21.2,500067,2360493,21.3,502111,2359159
"인천광역시",17.7,533369,3021010,17.8,537124,3023649,17.9,540810,3027854,18.0,545046,3031361,18.1,548141,3033844
"광주광역시",17.5,246980,1408422,17.6,248124,1407097,17.7,249119,1405226,17.9,250442,1402478,17.9,251349,1400827
"대전광역시",18.0,259245,1439157,18.1,260747,1438974,18.2,262147,1439809,18.3,264018,1439482,18.4,265282,1439393
"울산광역시",17.2,188702,1098049,17.3,189930,1097821,17.4,191053,1095778,17.6,192500,1095014,17.7,193577,1094460
"세종특별자치시",11.6,45301,390685,11.6,45531,390910,11.7,45847,391669,11.8,46135,391812,11.8,46349,391992
"경기도",16.6,2269603,13694685,16.7,2284775,13699647,16.8,2298454,13698657,16.9,2315392,13699381,17.0,2327377,13702756
"강원특별자치도",25.4,384970,1517766,25.5,386762,1515822,25.7,388408,1513735,25.8,390774,1512969,25.9,392270,1512088
"충청북도",21.9,349187,1591177,22.1,350782,1590666,22.2,352225,1590107,22.3,354120,1590512,22.3,355451,1590735
"충청남도",22.3,475648,2136574,22.4,477852,2135815,22.5,480183,2135340,22.6,483053,2135628,22.7,485104,2135908
"전북특별자치도",25.3,439263,1738690,25.4,440866,1737351,25.5,442141,1735008,25.6,444211,1733574,25.7,445579,1732439
"전라남도",27.2,486492,1788819,27.3,488077,1787592,27.4,489199,1785487,27.5,491208,1785193,27.6,492623,1785003
"경상북도",26.0,659227,2531384,26.2,661700,2528641,26.3,663749,2524067,26.4,667063,2523173,26.5,669274,2522609
"경상남도",21.8,704330,3228380,21.9,707709,3226599,22.1,710843,3221132,22.2,715162,3219574,22.3,718706,3218731
"제주특별자치도",18.9,126985,670368,19.0,127473,669460,19.1,127880,668205,19.2,128441,667739,19.3,128874,667513
