년도,시도,보건소,보건지소,보건진료소,건강생활지원센터
2018,서울 Seoul,25,22,0,0
2018,부산 Busan,16,10,5,3
2018,대구 Daegu,8,10,8,2
2018,인천 Incheon,10,27,26,6
2018,광주 Gwangju,5,4,10,4
2018,대전 Daejeon,5,6,8,1
2018,울산 Ulsan,5,8,11,1
2018,세종 Sejong,1,10,7,0
2018,경기 Gyeonggi,44,123,160,12
2018,강원 Gangwon,18,99,129,7
2018,충북 Chungbuk,14,96,158,2
2018,충남 Chungnam,16,151,234,5
2018,전북 Jeonbuk,14,151,242,3
2018,전남 Jeonnam,22,214,327,6
2018,경북 Gyeongbuk,25,223,311,1
2018,경남 Gyongnam,20,173,221,3
2018,제주 Jeju,6,11,47,1
2019,서울 Seoul,25,25,0,0
2019,부산 Busan,16,10,5,3
2019,대구 Daegu,8,10,8,3
2019,인천 Incheon,10,27,25,7
2019,광주 Gwangju,5,2,10,6
2019,대전 Daejeon,5,6,8,0
2019,울산 Ulsan,5,8,11,1
2019,세종 Sejong,1,10,7,1
2019,경기 Gyeonggi,46,123,161,13
2019,강원 Gangwon,18,100,129,7
2019,충북 Chungbuk,14,97,158,2
2019,충남 Chungnam,16,151,234,5
2019,전북 Jeonbuk,14,150,242,4
2019,전남 Jeonnam,22,214,327,6
2019,경북 Gyeongbuk,25,223,311,1
2019,경남 Gyongnam,20,173,221,3
2019,제주 Jeju,6,11,47,2
2020,서울 Seoul,25,28,0,0
2020,부산 Busan,16,10,5,6
2020,대구 Daegu,8,9,8,3
2020,인천 Incheon,10,26,25,8
2020,광주 Gwangju,5,0,10,9
2020,대전 Daejeon,5,6,8,0
2020,울산 Ulsan,5,8,11,1
2020,세종 Sejong,1,10,7,1
2020,경기 Gyeonggi,46,121,161,16
2020,강원 Gangwon,18,100,129,7
2020,충북 Chungbuk,14,96,158,2
2020,충남 Chungnam,16,151,235,6
2020,전북 Jeonbuk,14,150,237,4
2020,전남 Jeonnam,22,215,327,6
2020,경북 Gyeongbuk,25,223,311,1
2020,경남 Gyongnam,20,173,221,5
2020,제주 Jeju,6,11,48,2
2021,서울 Seoul,25,30,0,0
2021,부산 Busan,16,10,5,8
2021,대구 Daegu,8,9,8,3
2021,인천 Incheon,10,26,25,8
2021,광주 Gwangju,5,0,10,9
2021,대전 Daejeon,5,6,8,1
2021,울산 Ulsan,5,8,11,1
2021,세종 Sejong,1,10,7,1
2021,경기 Gyeonggi,48,122,162,17
2021,강원 Gangwon,18,100,129,7
2021,충북 Chungbuk,14,96,159,3
2021,충남 Chungnam,16,151,235,7
2021,전북 Jeonbuk,14,150,238,4
2021,전남 Jeonnam,22,217,327,6
2021,경북 Gyeongbuk,25,223,311,1
2021,경남 Gyongnam,20,173,221,5
2021,제주 Jeju,6,11,48,2
2022,서울 Seoul,25,33,0,1
2022,부산 Busan,16,10,5,13
2022,대구 Daegu,8,9,8,2
2022,인천 Incheon,10,26,25,8
2022,광주 Gwangju,5,0,10,9
2022,대전 Daejeon,5,6,8,1
2022,울산 Ulsan,5,8,11,1
2022,세종 Sejong,1,10,7,1
2022,경기 Gyeonggi,48,118,161,19
2022,강원 Gangwon,18,100,129,9
2022,충북 Chungbuk,14,95,159,4
2022,충남 Chungnam,16,151,236,7
2022,전북 Jeonbuk,15,150,240,4
2022,전남 Jeonnam,22,217,327,7
2022,경북 Gyeongbuk,25,223,308,1
2022,경남 Gyongnam,20,174,220,7
2022,제주 Jeju,6,11,48,2
2023,서울 Seoul,25,36,0,0
2023,부산 Busan,16,10,5,14
2023,대구 Daegu,9,16,18,2
2023,인천 Incheon,10,26,25,10
2023,광주 Gwangju,5,1,10,9
2023,대전 Daejeon,5,6,7,1
2023,울산 Ulsan,5,8,11,1
2023,세종 Sejong,1,10,7,1
2023,경기 Gyeonggi,49,116,158,20
2023,강원 Gangwon,18,99,129,10
2023,충북 Chungbuk,14,95,159,4
2023,충남 Chungnam,16,150,236,8
2023,전북 Jeonbuk,15,148,240,6
2023,전남 Jeonnam,22,217,327,7
2023,경북 Gyeongbuk,24,216,298,2
2023,경남 Gyongnam,21,173,220,7
2023,제주 Jeju,6,11,48,2
