시도별,성별,연령별,시점,추계인구
전국,계,계,1970 년,32240827
전국,계,계,1971 년,32882704
전국,계,계,1972 년,33505406
전국,계,계,1973 년,34103149
전국,계,계,1974 년,34692266
전국,계,계,1975 년,35280725
전국,계,계,1976 년,35848523
전국,계,계,1977 년,36411795
전국,계,계,1978 년,36969185
전국,계,계,1979 년,37534236
전국,계,계,1980 년,38123775
전국,계,계,1981 년,38723248
전국,계,계,1982 년,39326352
전국,계,계,1983 년,39910403
전국,계,계,1984 년,40405956
전국,계,계,1985 년,40805744
전국,계,계,1986 년,41213674
전국,계,계,1987 년,41621690
전국,계,계,1988 년,42031247
전국,계,계,1989 년,42449038
전국,계,계,1990 년,42869283
전국,계,계,1991 년,43295704
전국,계,계,1992 년,43747962
전국,계,계,1993 년,44194628
전국,계,계,1994 년,44641540
전국,계,계,1995 년,45092991
전국,계,계,1996 년,45524681
전국,계,계,1997 년,45953580
전국,계,계,1998 년,46286503
전국,계,계,1999 년,46616677
전국,계,계,2000 년,47008111
전국,계,계,2001 년,47370164
전국,계,계,2002 년,47644736
전국,계,계,2003 년,47892330
전국,계,계,2004 년,48082519
전국,계,계,2005 년,48184561
전국,계,계,2006 년,48438292
전국,계,계,2007 년,48683638
전국,계,계,2008 년,49054708
전국,계,계,2009 년,49307835
전국,계,계,2010 년,49554112
전국,계,계,2011 년,49936638
전국,계,계,2012 년,50199853
전국,계,계,2013 년,50428893
전국,계,계,2014 년,50746659
전국,계,계,2015 년,51014947
전국,계,계,2016 년,51217803
전국,계,계,2017 년,51361911
전국,계,계,2018 년,51585058
전국,계,계,2019 년,51764822
전국,계,계,2020 년,51836239
전국,계,계,2021 년,51769539
전국,계,계,2022 년,51672569
전국,계,계,2023 년,51712619
전국,계,계,2024 년,51751065
전국,계,0 - 4세,1970 년,4548177
전국,계,0 - 4세,1971 년,4619581
전국,계,0 - 4세,1972 년,4675505
전국,계,0 - 4세,1973 년,4695313
전국,계,0 - 4세,1974 년,4689282
전국,계,0 - 4세,1975 년,4541059
전국,계,0 - 4세,1976 년,4380101
전국,계,0 - 4세,1977 년,4222842
전국,계,0 - 4세,1978 년,4107110
전국,계,0 - 4세,1979 년,4025181
전국,계,0 - 4세,1980 년,4033727
전국,계,0 - 4세,1981 년,4075892
전국,계,0 - 4세,1982 년,4112359
전국,계,0 - 4세,1983 년,4119715
전국,계,0 - 4세,1984 년,4013144
전국,계,0 - 4세,1985 년,3845533
전국,계,0 - 4세,1986 년,3664739
전국,계,0 - 4세,1987 년,3469862
전국,계,0 - 4세,1988 년,3330753
전국,계,0 - 4세,1989 년,3277842
전국,계,0 - 4세,1990 년,3203203
전국,계,0 - 4세,1991 년,3238866
전국,계,0 - 4세,1992 년,3316174
전국,계,0 - 4세,1993 년,3403133
전국,계,0 - 4세,1994 년,3483283
전국,계,0 - 4세,1995 년,3545704
전국,계,0 - 4세,1996 년,3559073
전국,계,0 - 4세,1997 년,3524075
전국,계,0 - 4세,1998 년,3452808
전국,계,0 - 4세,1999 년,3349173
전국,계,0 - 4세,2000 년,3259783
전국,계,0 - 4세,2001 년,3162858
전국,계,0 - 4세,2002 년,3006361
전국,계,0 - 4세,2003 년,2843122
전국,계,0 - 4세,2004 년,2699556
전국,계,0 - 4세,2005 년,2524288
전국,계,0 - 4세,2006 년,2359807
전국,계,0 - 4세,2007 년,2298242
전국,계,0 - 4세,2008 년,2301398
전국,계,0 - 4세,2009 년,2273634
전국,계,0 - 4세,2010 년,2271803
전국,계,0 - 4세,2011 년,2315573
전국,계,0 - 4세,2012 년,2330921
전국,계,0 - 4세,2013 년,2309327
