"시도별","연령계층별","시점","항목",데이터
"계","계","2014","15세이상인구 (천명)",42795
"계","계","2014","경제활동인구 (천명)",26836
"계","계","2014","비경제활동인구 (천명)",15959
"계","계","2014","경제활동참가율 (%)",62.7
"계","계","2014","고용률 (%)",60.5
"계","계","2015","15세이상인구 (천명)",43239
"계","계","2015","경제활동인구 (천명)",27153
"계","계","2015","비경제활동인구 (천명)",16086
"계","계","2015","경제활동참가율 (%)",62.8
"계","계","2015","고용률 (%)",60.5
"계","계","2016","15세이상인구 (천명)",43606
"계","계","2016","경제활동인구 (천명)",27418
"계","계","2016","비경제활동인구 (천명)",16187
"계","계","2016","경제활동참가율 (%)",62.9
"계","계","2016","고용률 (%)",60.6
"계","계","2017","15세이상인구 (천명)",43931
"계","계","2017","경제활동인구 (천명)",27748
"계","계","2017","비경제활동인구 (천명)",16183
"계","계","2017","경제활동참가율 (%)",63.2
"계","계","2017","고용률 (%)",60.8
"계","계","2018","15세이상인구 (천명)",44182
"계","계","2018","경제활동인구 (천명)",27895
"계","계","2018","비경제활동인구 (천명)",16287
"계","계","2018","경제활동참가율 (%)",63.1
"계","계","2018","고용률 (%)",60.7
"계","계","2019","15세이상인구 (천명)",44504
"계","계","2019","경제활동인구 (천명)",28186
"계","계","2019","비경제활동인구 (천명)",16318
"계","계","2019","경제활동참가율 (%)",63.3
"계","계","2019","고용률 (%)",60.9
"계","계","2020","15세이상인구 (천명)",44785
"계","계","2020","경제활동인구 (천명)",28012
"계","계","2020","비경제활동인구 (천명)",16773
"계","계","2020","경제활동참가율 (%)",62.5
"계","계","2020","고용률 (%)",60.1
"계","계","2021","15세이상인구 (천명)",45080
"계","계","2021","경제활동인구 (천명)",28310
"계","계","2021","비경제활동인구 (천명)",16770
"계","계","2021","경제활동참가율 (%)",62.8
"계","계","2021","고용률 (%)",60.5
"계","계","2022","15세이상인구 (천명)",45260
"계","계","2022","경제활동인구 (천명)",28922
"계","계","2022","비경제활동인구 (천명)",16339
"계","계","2022","경제활동참가율 (%)",63.9
"계","계","2022","고용률 (%)",62.1
"계","계","2023","15세이상인구 (천명)",45407
"계","계","2023","경제활동인구 (천명)",29203
"계","계","2023","비경제활동인구 (천명)",16204
"계","계","2023","경제활동참가율 (%)",64.3
"계","계","2023","고용률 (%)",62.6
"계","계","2024","15세이상인구 (천명)",45570
"계","계","2024","경제활동인구 (천명)",29399
"계","계","2024","비경제활동인구 (천명)",16172
