시도별,성별,연령별,시점,지역별_총_인구수,노년층_인구
서울,계,계,1970 년,5685932.0,95538.0
서울,계,계,1971 년,5940442.0,106698.0
서울,계,계,1972 년,6206625.0,110568.0
서울,계,계,1973 년,6470497.0,119326.0
서울,계,계,1974 년,6737832.0,129836.0
서울,계,계,1975 년,7005007.0,146801.0
서울,계,계,1976 년,7300852.0,157823.0
서울,계,계,1977 년,7598734.0,169769.0
서울,계,계,1978 년,7900077.0,182433.0
서울,계,계,1979 년,8205097.0,195596.0
서울,계,계,1980 년,8516450.0,209787.0
서울,계,계,1981 년,8795571.0,221130.0
서울,계,계,1982 년,9058650.0,234968.0
서울,계,계,1983 년,9317088.0,248421.0
서울,계,계,1984 년,9558806.0,263172.0
서울,계,계,1985 년,9725447.0,278378.0
서울,계,계,1986 년,9815245.0,288346.0
서울,계,계,1987 년,9931649.0,302227.0
서울,계,계,1988 년,10147107.0,321463.0
서울,계,계,1989 년,10379344.0,342847.0
서울,계,계,1990 년,10473252.0,368112.0
서울,계,계,1991 년,10461122.0,378172.0
서울,계,계,1992 년,10445852.0,389436.0
서울,계,계,1993 년,10420119.0,402420.0
서울,계,계,1994 년,10385314.0,417509.0
서울,계,계,1995 년,10342224.0,433740.0
서울,계,계,1996 년,10195359.0,448985.0
서울,계,계,1997 년,10115549.0,466012.0
서울,계,계,1998 년,10051237.0,485207.0
서울,계,계,1999 년,10035810.0,509039.0
서울,계,계,2000 년,10078434.0,538670.0
서울,계,계,2001 년,10091137.0,571535.0
서울,계,계,2002 년,10049183.0,600757.0
서울,계,계,2003 년,10041419.0,632323.0
서울,계,계,2004 년,10051611.0,666725.0
서울,계,계,2005 년,10028631.0,705900.0
서울,계,계,2006 년,10057373.0,748340.0
서울,계,계,2007 년,10068563.0,798298.0
서울,계,계,2008 년,10111880.0,845513.0
서울,계,계,2009 년,10138867.0,888495.0
서울,계,계,2010 년,10088611.0,927877.0
서울,계,계,2011 년,10072235.0,967141.0
서울,계,계,2012 년,10036273.0,1028072.0
서울,계,계,2013 년,9990010.0,1090007.0
서울,계,계,2014 년,9975163.0,1148847.0
서울,계,계,2015 년,9941162.0,1208835.0
서울,계,계,2016 년,9842501.0,1239118.0
서울,계,계,2017 년,9766399.0,1292108.0
서울,계,계,2018 년,9697449.0,1341836.0
서울,계,계,2019 년,9657296.0,1397496.0
서울,계,계,2020 년,9617795.0,1476752.0
서울,계,계,2021 년,9507905.0,1543661.0
서울,계,계,2022 년,9421415.0,1611095.0
서울,계,계,2023 년,9400365.0,1687316.0
서울,계,계,2024 년,9393699.0,1768926.0
부산,계,계,1970 년,2045828.0,36308.0
부산,계,계,1971 년,2155433.0,40236.0
부산,계,계,1972 년,2270494.0,41450.0
부산,계,계,1973 년,2386209.0,44434.0
부산,계,계,1974 년,2504899.0,48019.0
부산,계,계,1975 년,2625143.0,54080.0
부산,계,계,1976 년,2756845.0,57929.0
부산,계,계,1977 년,2890337.0,62064.0
부산,계,계,1978 년,3026409.0,66410.0
부산,계,계,1979 년,3165516.0,70923.0
부산,계,계,1980 년,3309338.0,75785.0
부산,계,계,1981 년,3399677.0,79231.0
부산,계,계,1982 년,3469299.0,83207.0
부산,계,계,1983 년,3526625.0,86704.0
부산,계,계,1984 년,3580187.0,90616.0
부산,계,계,1985 년,3627990.0,95132.0
부산,계,계,1986 년,3671462.0,100471.0
부산,계,계,1987 년,3724562.0,107340.0
부산,계,계,1988 년,3773138.0,115075.0
부산,계,계,1989 년,3803288.0,122979.0
부산,계,계,1990 년,3803334.0,132724.0
부산,계,계,1991 년,3816713.0,139113.0
부산,계,계,1992 년,3829348.0,146178.0
부산,계,계,1993 년,3839022.0,154215.0
부산,계,계,1994 년,3846467.0,163419.0
부산,계,계,1995 년,3852295.0,173378.0
부산,계,계,1996 년,3826168.0,182773.0
부산,계,계,1997 년,3803326.0,192396.0
부산,계,계,1998 년,3775121.0,202456.0
부산,계,계,1999 년,3752322.0,213975.0
부산,계,계,2000 년,3732630.0,226864.0
부산,계,계,2001 년,3716425.0,241479.0
부산,계,계,2002 년,3684942.0,255947.0
부산,계,계,2003 년,3648852.0,268990.0
부산,계,계,2004 년,3623903.0,284009.0
부산,계,계,2005 년,3590291.0,301004.0
부산,계,계,2006 년,3563009.0,318070.0
부산,계,계,2007 년,3538031.0,337531.0
부산,계,계,2008 년,3514331.0,357496.0
부산,계,계,2009 년,3497197.0,374674.0
부산,계,계,2010 년,3476658.0,391014.0
부산,계,계,2011 년,3476349.0,403708.0
부산,계,계,2012 년,3461881.0,423651.0
부산,계,계,2013 년,3455734.0,446844.0
부산,계,계,2014 년,3452309.0,470005.0
부산,계,계,2015 년,3452260.0,494721.0
부산,계,계,2016 년,3446962.0,517169.0
부산,계,계,2017 년,3424409.0,541710.0
부산,계,계,2018 년,3403116.0,566808.0
부산,계,계,2019 년,3381208.0,592490.0
부산,계,계,2020 년,3355632.0,628265.0
부산,계,계,2021 년,3333677.0,659973.0
부산,계,계,2022 년,3303196.0,690015.0
부산,계,계,2023 년,3284246.0,721815.0
